timestamp,L1,F2,total_power_kw,energy_kwh,price_eur_kwh,cost_eur,flow_m3
2024-11-24 01:15:00,1.9622937440872192,6209.46337890625,773.7403869628906,193.43509674072266,1.875,362.690806388855,1552.3658447265625
2024-11-24 01:30:00,1.9447346925735474,6183.66259765625,771.9349975585938,192.98374938964844,1.875,361.8445301055908,1545.9156494140625
2024-11-24 01:45:00,1.9234403371810913,6155.2265625,770.4133605957031,192.60334014892578,1.875,361.13126277923584,1538.806640625
2024-11-24 02:00:00,1.8988779783248901,6127.0927734375,770.7160949707031,192.67902374267578,2.381,458.768755531311,1531.773193359375
2024-11-24 02:15:00,1.8722845315933228,6099.14111328125,771.0286254882812,192.7571563720703,2.381,458.9547893218994,1524.7852783203125
2024-11-24 02:30:00,1.8409032821655273,6057.85546875,769.7819519042969,192.44548797607422,2.381,458.21270687103265,1514.4638671875
2024-11-24 02:45:00,1.8080689907073975,5978.24365234375,767.9985961914062,191.99964904785156,2.381,457.15116438293455,1494.5609130859375
2024-11-24 03:00:00,1.7676482200622559,5942.42138671875,766.9902954101562,191.74757385253906,3.873,742.6383535308838,1485.6053466796875
2024-11-24 03:15:00,1.7226699590682983,5864.7197265625,765.6669311523438,191.41673278808594,3.873,741.3570060882569,1466.179931640625
2024-11-24 03:30:00,1.674095630645752,5801.8447265625,764.7897033691406,191.19742584228516,3.873,740.5076302871704,1450.461181640625
2024-11-24 03:45:00,1.6225180625915527,5732.6435546875,763.4028015136719,190.85070037841797,3.873,739.1647625656128,1433.160888671875
2024-11-24 04:00:00,1.5646286010742188,5667.4716796875,763.5260620117188,190.8815155029297,6.149,1173.7304388275147,1416.867919921875
2024-11-24 04:15:00,1.5045934915542603,5390.62255859375,727.7661743164062,181.94154357910156,6.149,1118.7585514678956,1347.6556396484375
2024-11-24 04:30:00,1.4797965288162231,4570.2646484375,615.0344543457031,153.75861358642578,6.149,945.4617149429321,1142.566162109375
2024-11-24 04:45:00,1.4691990613937378,4489.66845703125,608.0594482421875,152.01486206054688,6.149,934.7393868103028,1122.4171142578125
2024-11-24 05:00:00,1.464277744293213,4340.021484375,591.6034240722656,147.9008560180664,8.553,1264.9960215225221,1085.00537109375
2024-11-24 05:15:00,1.4612737894058228,4239.45068359375,579.0337829589844,144.7584457397461,8.553,1238.1189864120486,1059.8626708984375
2024-11-24 05:30:00,1.457085132598877,4083.897216796875,559.5783386230469,139.89458465576172,8.553,1196.51838256073,1020.9743041992188
2024-11-24 05:45:00,1.454567313194275,4006.555419921875,551.1172180175781,137.77930450439453,8.553,1178.4263914260866,1001.6388549804688
2024-11-24 06:00:00,1.4481792449951172,4032.95947265625,552.498046875,138.12451171875,25.642,3541.7887294921875,1008.2398681640625
2024-11-24 06:15:00,1.4362506866455078,4024.138671875,551.959716796875,137.98992919921875,25.642,3538.337764526367,1006.03466796875
2024-11-24 06:30:00,1.4170506000518799,4028.798828125,552.7244262695312,138.1811065673828,25.642,3543.23993460083,1007.19970703125
2024-11-24 06:45:00,1.3972822427749634,4011.421630859375,551.5822143554688,137.8955535888672,25.642,3535.9177851257323,1002.8554077148438
2024-11-24 07:00:00,1.438848853111267,2558.08935546875,343.79999828338623,85.94999957084656,28.112,2416.2263879356383,639.5223388671875
2024-11-24 07:15:00,1.5070425271987915,2678.654296875,357.76092529296875,89.44023132324219,28.112,2514.3437829589843,669.66357421875
2024-11-24 07:30:00,1.5557129383087158,2658.8369140625,358.05462646484375,89.51365661621094,28.112,2516.407914794922,664.709228515625
2024-11-24 07:45:00,1.5996087789535522,2643.40673828125,355.52777099609375,88.88194274902344,28.112,2498.6491745605467,660.8516845703125
2024-11-24 08:00:00,1.5944634675979614,4008.399169921875,515.6532135009766,128.91330337524414,47.949,6181.263983539581,1002.0997924804688
2024-11-24 08:15:00,1.5576283931732178,4182.17236328125,533.9391174316406,133.48477935791016,47.949,6400.461685432434,1045.5430908203125
2024-11-24 08:30:00,1.5158299207687378,4095.75146484375,530.6301116943359,132.65752792358398,47.949,6360.7958064079285,1023.9378662109375
2024-11-24 08:45:00,1.473352074623108,4068.39990234375,529.6292114257812,132.4073028564453,47.949,6348.797764663696,1017.0999755859375
2024-11-24 09:00:00,1.4282687902450562,4012.467529296875,528.6402893066406,132.16007232666016,37.646,4975.298082809449,1003.1168823242188
2024-11-24 09:15:00,1.3990588188171387,3597.606689453125,477.0275115966797,119.25687789916992,37.646,4489.544425392151,899.4016723632812
2024-11-24 09:30:00,1.4296001195907593,2651.79248046875,321.7244567871094,80.43111419677734,37.646,3027.90972505188,662.9481201171875
2024-11-24 09:45:00,1.4770219326019287,2708.745361328125,331.66888427734375,82.91722106933594,37.646,3121.501704376221,677.1863403320312
2024-11-24 10:00:00,1.5170785188674927,2710.825439453125,332.1549987792969,83.03874969482422,28.112,2334.385331420898,677.7063598632812
2024-11-24 10:15:00,1.5596277713775635,2715.212646484375,332.52166748046875,83.13041687011719,28.112,2336.962279052734,678.8031616210938
2024-11-24 10:30:00,1.604905366897583,2716.146728515625,332.4927673339844,83.1231918334961,28.112,2336.759168823242,679.0366821289062
2024-11-24 10:45:00,1.6530600786209106,2783.59765625,339.468505859375,84.86712646484375,28.112,2385.7846591796874,695.8994140625
2024-11-24 11:00:00,1.6881294250488281,3205.816650390625,390.583984375,97.64599609375,19.697,1923.3331850585937,801.4541625976562
2024-11-24 11:15:00,1.7253570556640625,3207.907958984375,391.1152648925781,97.77881622314453,19.697,1925.9493431472777,801.9769897460938
2024-11-24 11:30:00,1.7696462869644165,3165.794677734375,395.9872131347656,98.9968032836914,19.697,1949.9400342788695,791.4486694335938
2024-11-24 11:45:00,1.81842839717865,3385.965087890625,425.61109924316406,106.40277481079102,19.697,2095.8154554481507,846.4912719726562
2024-11-24 12:00:00,1.821031928062439,4829.02880859375,587.2491760253906,146.81229400634766,20.325,2983.959875679016,1207.2572021484375
2024-11-24 12:15:00,1.8193498849868774,4826.380859375,587.5379028320312,146.8844757080078,20.325,2985.4269687652586,1206.59521484375
2024-11-24 12:30:00,1.8214648962020874,4815.1416015625,587.6112976074219,146.90282440185547,20.325,2985.799905967712,1203.785400390625
2024-11-24 12:45:00,1.8303494453430176,4803.9306640625,587.4056091308594,146.85140228271484,20.325,2984.754751396179,1200.982666015625
2024-11-24 13:00:00,1.8548110723495483,4807.85888671875,586.7142639160156,146.6785659790039,18.825,2761.2240045547483,1201.9647216796875
2024-11-24 13:15:00,1.8957597017288208,4803.05859375,586.9595947265625,146.73989868164062,18.825,2762.3785926818846,1200.7646484375
2024-11-24 13:30:00,1.9500709772109985,4800.02294921875,588.3968963623047,147.09922409057617,18.825,2769.1428935050963,1200.0057373046875
2024-11-24 13:45:00,2.0074422359466553,4929.564453125,603.2663955688477,150.8165988922119,18.825,2839.122474145889,1232.39111328125
2024-11-24 14:00:00,2.019455671310425,6201.47802734375,724.6533203125,181.163330078125,16.314,2955.4985668945315,1550.3695068359375
2024-11-24 14:15:00,2.027937650680542,6170.41845703125,725.8622436523438,181.46556091308594,16.314,2960.429160736084,1542.6046142578125
2024-11-24 14:30:00,2.0337283611297607,6152.267578125,728.2996215820312,182.0749053955078,16.314,2970.3700066223146,1538.06689453125
2024-11-24 14:45:00,2.0386788845062256,6135.93017578125,730.2792663574219,182.56981658935547,16.314,2978.443987838745,1533.9825439453125
2024-11-24 15:00:00,2.0392634868621826,6296.01904296875,753.5510864257812,188.3877716064453,10.944,2061.715772460938,1574.0047607421875
2024-11-24 15:15:00,2.039001226425171,6277.9951171875,754.8739013671875,188.71847534179688,10.944,2065.334994140625,1569.498779296875
2024-11-24 15:30:00,2.038738965988159,6267.779296875,754.88720703125,188.7218017578125,10.944,2065.3713984375004,1566.94482421875
2024-11-24 15:45:00,2.0382461547851562,6269.9111328125,754.1877746582031,188.54694366455078,10.944,2063.457751464844,1567.477783203125
2024-11-24 16:00:00,2.034925937652588,6263.78125,750.8160095214844,187.7040023803711,14.421,2706.879418327331,1565.9453125
2024-11-24 16:15:00,2.0306599140167236,6251.35302734375,750.0284118652344,187.5071029663086,14.421,2704.039931877136,1562.8382568359375
2024-11-24 16:30:00,2.02591872215271,6245.88916015625,750.2955627441406,187.57389068603516,14.421,2705.003077583313,1561.4722900390625
2024-11-24 16:45:00,2.022649049758911,6222.2109375,751.26220703125,187.8155517578125,14.421,2708.488071899414,1555.552734375
2024-11-24 17:00:00,2.026076316833496,6181.4716796875,751.2113952636719,187.80284881591797,16.314,3063.815675582886,1545.367919921875
2024-11-24 17:15:00,2.0379300117492676,6141.4326171875,751.585205078125,187.89630126953125,16.314,3065.340258911133,1535.358154296875
2024-11-24 17:30:00,2.0473833084106445,6145.6083984375,751.0358276367188,187.7589569091797,16.314,3063.0996230163573,1536.402099609375
2024-11-24 17:45:00,2.0531654357910156,6147.11083984375,751.066650390625,187.76666259765625,16.314,3063.225333618164,1536.7777099609375
2024-11-24 18:00:00,2.057616710662842,6134.98681640625,750.5347900390625,187.63369750976562,25.475,4779.968444061279,1533.7467041015625
2024-11-24 18:15:00,2.0560123920440674,6114.13037109375,749.3322448730469,187.33306121826172,25.475,4772.309734535217,1528.5325927734375
2024-11-24 18:30:00,2.053785800933838,6094.08740234375,749.2392883300781,187.30982208251953,25.475,4771.717717552186,1523.5218505859375
2024-11-24 18:45:00,2.049436092376709,6089.06103515625,750.0101623535156,187.5025405883789,25.475,4776.627221488953,1522.2652587890625
